"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"ndsort benchmarks";"striated n=1000 m=5  efficient_binary";"sort";1;8.09139230769231e-05;0.00618746634165696;1582558.35714286;360684.142857143;499.428571428571;0.011955551
"ndsort benchmarks";"striated n=1000 m=5  efficient_sequential";"sort";1;0.0010447546;0.00456158856088464;22143271.6;6243819;1561.8;0.062694218
"ndsort benchmarks";"random n=100 m=10  deductive";"sort";1;4.21924642857143e-05;0.0029904346841747;1028703.16666667;74067.0416666667;141.36;0.012014101
"ndsort benchmarks";"random n=100 m=10  rank_intersect";"sort";1;4.55073913043478e-05;0.00120237038733504;551588.2;53060.05;81.1538461538462;0.01203507
"ndsort benchmarks";"random n=100 m=10  merge";"sort";1;4.63391363636364e-05;0.00197333914766065;602317.652173913;61486.3461538462;159.346153846154;0.012011261
"ndsort benchmarks";"random n=100 m=10  hierarchical";"sort";1;1.99753846153846e-05;0.00247330248556797;335585.431034483;60949.0196078431;467.074074074074;0.012084249
"ndsort benchmarks";"random n=100 m=10  best_order";"sort";1;4.84320416666667e-05;0.00225751266739284;619938.954545455;72235.8636363636;84.7916666666667;0.011880962
"ndsort benchmarks";"random n=100 m=10  efficient_binary";"sort";1;1.18857586206897e-05;0.00203632177878937;196598.608247423;47047.1237113402;53.5360824742268;0.01211324
"ndsort benchmarks";"random n=100 m=10  efficient_sequential";"sort";1;1.08194504504504e-05;0.000910167225446743;191056.405660377;45707.3490566038;64.0934579439252;0.01212649
"ndsort benchmarks";"linear_front n=100 m=10  deductive";"sort";1;4.35592307692308e-05;0.00110919268130387;1070017.17391304;76403.0434782609;113.384615384615;0.01208012
"ndsort benchmarks";"linear_front n=100 m=10  rank_intersect";"sort";1;4.48636e-05;0.00454951718990534;537439.173913043;50972.0434782609;86.5925925925926;0.012057881
"ndsort benchmarks";"linear_front n=100 m=10  merge";"sort";1;4.399125e-05;0.00214882767322065;542473.72;56214.6666666667;124.222222222222;0.011952931
"ndsort benchmarks";"linear_front n=100 m=10  hierarchical";"sort";1;1.97981818181818e-05;0.00277713565261835;340874.074074074;60987.0185185185;486.235294117647;0.0120502
"ndsort benchmarks";"linear_front n=100 m=10  best_order";"sort";1;4.93076666666667e-05;0.000849141354052381;612128.5;70522.875;81.3333333333333;0.011965483
"ndsort benchmarks";"linear_front n=100 m=10  efficient_binary";"sort";1;1.195790625e-05;0.00451848717695319;193647.244186047;45705.0813953488;70.6477272727273;0.012092358
"ndsort benchmarks";"linear_front n=100 m=10  efficient_sequential";"sort";1;1.09112844036697e-05;0.00915041530339744;191685.520408163;45337.6326530612;75.04;0.01209408
"ndsort benchmarks";"sphere_front n=100 m=10  deductive";"sort";1;4.35503333333333e-05;0.000145446751179048;1070017.16666667;76403.0416666667;111.576923076923;0.012065039
"ndsort benchmarks";"sphere_front n=100 m=10  rank_intersect";"sort";1;4.46342307692308e-05;0.00070799815209608;539097.173913043;51229.0434782609;85.3478260869565;0.01204085
"ndsort benchmarks";"sphere_front n=100 m=10  merge";"sort";1;4.3895e-05;0.000688917241836558;542845.826086957;56263.2307692308;146.307692307692;0.011972859
"ndsort benchmarks";"sphere_front n=100 m=10  hierarchical";"sort";1;1.96565409836066e-05;0.00091963398737467;339353.076923077;60532.0192307692;476.711538461538;0.01208812
"ndsort benchmarks";"sphere_front n=100 m=10  best_order";"sort";1;4.73716666666667e-05;0.0028112854118237;602654.391304348;68580.0869565217;84.4347826086957;0.011984503
"ndsort benchmarks";"sphere_front n=100 m=10  efficient_binary";"sort";1;1.13749019607843e-05;0.00450112656865876;190982.441176471;45157.2222222222;57.9677419354839;0.012097331
"ndsort benchmarks";"sphere_front n=100 m=10  efficient_sequential";"sort";1;1.06262376237624e-05;0.00824368114129933;189081.903508772;44797.7843137255;57.1454545454545;0.012182748
"ndsort benchmarks";"striated n=100 m=10  deductive";"sort";1;5.24945e-05;0.000224133850529326;1230568.2;105842.05;313.136363636364;0.012134389
"ndsort benchmarks";"striated n=100 m=10  rank_intersect";"sort";1;5.2037347826087e-05;0.00101660737502441;683427.727272727;79640.0454545455;139.363636363636;0.012098379
"ndsort benchmarks";"striated n=100 m=10  merge";"sort";1;2.07596e-05;0.00584773684303266;281214.857142857;47932.7321428571;179.58;0.01216651
"ndsort benchmarks";"striated n=100 m=10  hierarchical";"sort";1;6.7664375e-05;0.00152835471847271;1153586.5;236961;1080.88235294118;0.01200726
"ndsort benchmarks";"striated n=100 m=10  best_order";"sort";1;8.23454615384615e-05;0.00562799436355104;1348945.76923077;217107;506.071428571429;0.011951803
"ndsort benchmarks";"striated n=100 m=10  efficient_binary";"sort";1;7.70262837837838e-06;0.00168903747412639;151355.028776978;34748.0071942446;45.2426470588235;0.012075888
"ndsort benchmarks";"striated n=100 m=10  efficient_sequential";"sort";1;2.21929166666667e-05;0.00483837265345229;467592.074074074;132186.018518519;157.326923076923;0.012197799
"ndsort benchmarks";"random n=500 m=10  deductive";"sort";1;0.000980394333333333;0.00524639842797465;23096397.6;1662168;7392.33333333333;0.058772595
"ndsort benchmarks";"random n=500 m=10  rank_intersect";"sort";1;0.000133591375;0.0111310456243331;1625997.55555556;151423.142857143;252.333333333333;0.011937812
"ndsort benchmarks";"random n=500 m=10  merge";"sort";1;0.000165521666666667;0.0149810929584046;1865771.71428571;189398.714285714;4282;0.011944122
"ndsort benchmarks";"random n=500 m=10  hierarchical";"sort";1;0.000790719333333333;0.00289246715576813;6804455.5;1259766.33333333;71944.6;0.047481547
"ndsort benchmarks";"random n=500 m=10  best_order";"sort";1;0.000305632166666667;0.00876303659846739;2261636.83333333;308154.5;15680.4;0.018411172
"ndsort benchmarks";"random n=500 m=10  efficient_binary";"sort";1;0.000534737;0.00125039976092973;2854327.8;744268.8;59604.6666666667;0.032155745
"ndsort benchmarks";"random n=500 m=10  efficient_sequential";"sort";1;0.000528685166666667;0.00170572686781016;2687918.2;701197.5;54539.5;0.031626423
"ndsort benchmarks";"linear_front n=500 m=10  deductive";"sort";1;0.001087786;0.00460083180320124;26641929.6666667;1880350.16666667;524.833333333333;0.065149615
"ndsort benchmarks";"linear_front n=500 m=10  rank_intersect";"sort";1;0.000136719888888889;0.00534781859596346;1553572.5;141195.125;250.333333333333;0.011891582
"ndsort benchmarks";"linear_front n=500 m=10  merge";"sort";1;0.000164170166666667;0.00390590420947194;1811623.85714286;184701.857142857;3707.42857142857;0.011876441
"ndsort benchmarks";"linear_front n=500 m=10  hierarchical";"sort";1;0.0008144306;0.000931578622654872;7762385.33333333;1416432.6;69508.2;0.048955903
